model	type	test_f1
Perspective	average	0.5256708031284208
Perspective	content	0.5095352210246809
Perspective	format	0.4908791357648414
Perspective	harassment	0.5710821375749133
Perspective	hatespeech	0.5133088948769655
Perspective	incivility	0.6800639846899535
Perspective	meta-rules	0.5124926110510406
Perspective	off-topic	0.4885557649954476
Perspective	spam	0.4749401349470356
Perspective	trolling	0.49017934323090895
IncivilHate	average	0.47546914696600656
IncivilHate	content	0.4397327677231158
IncivilHate	format	0.43909820748071454
IncivilHate	harassment	0.5007033038395925
IncivilHate	hatespeech	0.444051148180128
IncivilHate	incivility	0.7282101513630371
IncivilHate	meta-rules	0.4298960079824402
IncivilHate	off-topic	0.4353353097577042
IncivilHate	spam	0.4323707471354378
IncivilHate	trolling	0.42982467923188905
Comment	average	0.6264102530028091
Comment	content	0.665203814061554
Comment	format	0.6282402952310348
Comment	harassment	0.5768547055962445
Comment	hatespeech	0.544348102961983
Comment	incivility	0.7654548648323795
Comment	meta-rules	0.5282132137403724
Comment	off-topic	0.5938716151302238
Comment	spam	0.7781776102105333
Comment	trolling	0.5573280552609553
+Community	average	0.7836039486194561
+Community	content	0.7636490497798152
+Community	format	0.7987944853370267
+Community	harassment	0.8513951548261351
+Community	hatespeech	0.7625179342624273
+Community	incivility	0.8461405125642262
+Community	meta-rules	0.7801274607257692
+Community	off-topic	0.7176753401126276
+Community	spam	0.80811735469354
+Community	trolling	0.7240182452735389
+History	average	0.6408518963508836
+History	content	0.6692916052980775
+History	format	0.7229100464461191
+History	harassment	0.6221914218638578
+History	hatespeech	0.5307976721134138
+History	incivility	0.7799726336293641
+History	meta-rules	0.5116760528932289
+History	off-topic	0.6022754711414162
+History	spam	0.7794382083780137
+History	trolling	0.5491139553944614
+History+Community	average	0.7703924222614132
+History+Community	content	0.7457496027165593
+History+Community	format	0.7915256773391787
+History+Community	harassment	0.8511347018762223
+History+Community	hatespeech	0.7566332194667071
+History+Community	incivility	0.8527269375809426
+History+Community	meta-rules	0.7445660624579425
+History+Community	off-topic	0.7290375376383857
+History+Community	spam	0.820561105921486
+History+Community	trolling	0.6415969553552943
+Rule+History+Community	average	0.6971551394769674
+Rule+History+Community	content	0.6453042223407819
+Rule+History+Community	format	0.672840739443944
+Rule+History+Community	harassment	0.7233983484588864
+Rule+History+Community	hatespeech	0.6758084929127564
+Rule+History+Community	incivility	0.7904709235105506
+Rule+History+Community	meta-rules	0.7311400385791086
+Rule+History+Community	off-topic	0.6828606467606182
+Rule+History+Community	spam	0.6908810603233171
+Rule+History+Community	trolling	0.6616917829627428
+Rule	average	0.6763570509526586
+Rule	content	0.6033026288632924
+Rule	format	0.6275980820707823
+Rule	harassment	0.718748678582082
+Rule	hatespeech	0.6783105685569554
+Rule	incivility	0.7904930104039991
+Rule	meta-rules	0.6902383870404162
+Rule	off-topic	0.651375360687348
+Rule	spam	0.6755273355304101
+Rule	trolling	0.6516194068386411
+Rule+History	average	0.6961529107674574
+Rule+History	content	0.6365776282009882
+Rule+History	format	0.674187941858454
+Rule+History	harassment	0.7192995849040924
+Rule+History	hatespeech	0.6784515196187478
+Rule+History	incivility	0.7950713831325507
+Rule+History	meta-rules	0.7163515773093125
+Rule+History	off-topic	0.6957950877060692
+Rule+History	spam	0.6969132752562014
+Rule+History	trolling	0.6527281989207019
Majority	average	0.4652353106342336
Majority	content	0.4798256285482563
Majority	format	0.4777608142493638
Majority	harassment	0.4724992289503444
Majority	hatespeech	0.4889951200079673
Majority	incivility	0.3336363636363637
Majority	meta-rules	0.4925830696202532
Majority	off-topic	0.4840623428858723
Majority	spam	0.4660770031217482
Majority	trolling	0.4916782246879334
